Fecha;El_Cascajo;Puerto_Ayora;Santa_Cruz
14/1/2005;;;266
15/3/2010;;85;85
20/4/2010;;;4
14/6/2010;;;13
20/7/2010;;;82
27/7/2010;;82;82
28/7/2010;;102;102
29/7/2010;;4;4
20/8/2010;;6;6
25/8/2010;;18;18
26/8/2010;;43;43
27/8/2010;;16;16
31/8/2010;;19;19
1/9/2010;;33;33
2/9/2010;;93;93
3/9/2010;;;244
6/9/2010;;;122
8/9/2010;;;80
9/9/2010;;30;30
10/9/2010;;120;120
13/9/2010;;;13
14/9/2010;;67;67
15/9/2010;;44;44
16/9/2010;;24;24
23/9/2010;;48;48
8/10/2010;;;36
13/10/2010;;;45
14/10/2010;;;5
21/10/2010;;;12
30/11/2010;;;22
6/12/2010;;;13
7/12/2010;;;11
8/12/2010;;;79
9/12/2010;;;9
10/12/2010;;;22
16/12/2010;;;5
17/12/2010;;10;10
10/1/2011;;;10
11/1/2011;;40;40
12/1/2011;;34;34
13/1/2011;;;26
21/1/2011;;13;19
24/1/2011;;;15
27/1/2011;;;39
28/1/2011;;;15
3/2/2011;;;45
4/2/2011;;;19
9/2/2011;;135;135
14/2/2011;;90;90
15/2/2011;;113;113
21/2/2011;;300;300
22/2/2011;;180;180
23/2/2011;;;5
24/2/2011;;2;2
25/2/2011;;90;90
1/3/2011;;300;300
2/3/2011;;12;12
3/3/2011;;6;6
4/3/2011;;17;17
9/3/2011;;558;558
15/3/2011;;703;703
16/3/2011;;;2
17/3/2011;;0;0
18/3/2011;;0;0
19/3/2011;;;5
21/3/2011;;;1490
22/3/2011;;;176
23/3/2011;;5;6
24/3/2011;;72;266
28/3/2011;;141;153
29/3/2011;;411;411
30/3/2011;;149;149
31/3/2011;;532;532
1/4/2011;;237;237
4/4/2011;;698;698
5/4/2011;;124;124
6/4/2011;;45;45
7/4/2011;;129;129
8/4/2011;;;0
11/4/2011;;262;641
12/4/2011;;292;304
13/4/2011;;1098;1098
14/4/2011;;1336;1336
15/4/2011;;452;452
18/4/2011;;3547;3547
19/4/2011;;1294;1294
20/4/2011;;397;1158
21/4/2011;9;36;65
25/4/2011;;652;652
26/4/2011;;472;472
27/4/2011;;129;1418
28/4/2011;;;520
29/4/2011;;;52
2/5/2011;;29;619
3/5/2011;152;;306
4/5/2011;24;;24
5/5/2011;;403;403
9/5/2011;;414;414
10/5/2011;;96;128
11/5/2011;;1101;1101
12/5/2011;;640;640
13/5/2011;;420;420
16/5/2011;6;14;20
17/5/2011;;274;274
