Fecha;Santa_Cruz
15/3/2010;85
16/3/2010;85
17/3/2010;85
18/3/2010;85
19/3/2010;85
20/3/2010;85
21/3/2010;85
22/3/2010;85
23/3/2010;85
24/3/2010;85
25/3/2010;85
26/3/2010;85
27/3/2010;85
28/3/2010;85
29/3/2010;85
30/3/2010;85
31/3/2010;85
1/4/2010;85
2/4/2010;85
3/4/2010;85
4/4/2010;85
5/4/2010;85
6/4/2010;85
7/4/2010;85
8/4/2010;85
9/4/2010;85
10/4/2010;85
11/4/2010;85
12/4/2010;85
13/4/2010;85
14/4/2010;85
15/4/2010;85
16/4/2010;85
17/4/2010;85
18/4/2010;85
19/4/2010;85
20/4/2010;89
21/4/2010;89
22/4/2010;89
23/4/2010;89
24/4/2010;89
25/4/2010;89
26/4/2010;89
27/4/2010;89
28/4/2010;89
29/4/2010;89
30/4/2010;89
1/5/2010;89
2/5/2010;89
3/5/2010;89
4/5/2010;89
5/5/2010;89
6/5/2010;89
7/5/2010;89
8/5/2010;89
9/5/2010;89
10/5/2010;89
11/5/2010;89
12/5/2010;89
13/5/2010;89
14/5/2010;89
15/5/2010;89
16/5/2010;89
17/5/2010;89
18/5/2010;89
19/5/2010;89
20/5/2010;89
21/5/2010;89
22/5/2010;89
23/5/2010;89
24/5/2010;89
25/5/2010;89
26/5/2010;89
27/5/2010;89
28/5/2010;89
29/5/2010;89
30/5/2010;89
31/5/2010;89
1/6/2010;89
2/6/2010;89
3/6/2010;89
4/6/2010;89
5/6/2010;89
6/6/2010;89
7/6/2010;89
8/6/2010;89
9/6/2010;89
10/6/2010;89
11/6/2010;89
12/6/2010;89
13/6/2010;89
14/6/2010;102
15/6/2010;102
16/6/2010;102
17/6/2010;102
18/6/2010;102
19/6/2010;102
20/6/2010;102
21/6/2010;102
22/6/2010;102
23/6/2010;102
24/6/2010;102
25/6/2010;102
26/6/2010;102
27/6/2010;102
28/6/2010;102
29/6/2010;102
30/6/2010;102
1/7/2010;102
2/7/2010;102
3/7/2010;102
4/7/2010;102
5/7/2010;102
6/7/2010;102
7/7/2010;102
8/7/2010;102
9/7/2010;102
10/7/2010;102
11/7/2010;102
12/7/2010;102
13/7/2010;102
14/7/2010;102
15/7/2010;102
16/7/2010;102
17/7/2010;102
18/7/2010;102
19/7/2010;102
20/7/2010;184
21/7/2010;184
22/7/2010;184
23/7/2010;184
24/7/2010;184
25/7/2010;184
26/7/2010;184
27/7/2010;266
28/7/2010;368
29/7/2010;372
30/7/2010;372
31/7/2010;372
1/8/2010;372
2/8/2010;372
3/8/2010;372
4/8/2010;372
5/8/2010;372
6/8/2010;372
7/8/2010;372
8/8/2010;372
9/8/2010;372
10/8/2010;372
11/8/2010;372
12/8/2010;372
13/8/2010;372
14/8/2010;372
15/8/2010;372
16/8/2010;372
17/8/2010;372
18/8/2010;372
19/8/2010;372
20/8/2010;378
21/8/2010;378
22/8/2010;378
23/8/2010;378
24/8/2010;378
25/8/2010;396
26/8/2010;439
27/8/2010;455
28/8/2010;455
29/8/2010;455
30/8/2010;455
31/8/2010;474
1/9/2010;507
2/9/2010;600
3/9/2010;844
4/9/2010;844
5/9/2010;844
6/9/2010;966
7/9/2010;966
8/9/2010;1046
9/9/2010;1076
10/9/2010;1196
11/9/2010;1196
12/9/2010;1196
13/9/2010;1209
14/9/2010;1276
15/9/2010;1320
16/9/2010;1344
17/9/2010;1344
18/9/2010;1344
19/9/2010;1344
20/9/2010;1344
21/9/2010;1344
22/9/2010;1344
23/9/2010;1392
24/9/2010;1392
25/9/2010;1392
26/9/2010;1392
27/9/2010;1392
28/9/2010;1392
29/9/2010;1392
30/9/2010;1392
1/10/2010;1392
2/10/2010;1392
3/10/2010;1392
4/10/2010;1392
5/10/2010;1392
6/10/2010;1392
7/10/2010;1392
8/10/2010;1428
9/10/2010;1428
10/10/2010;1428
11/10/2010;1428
12/10/2010;1428
13/10/2010;1473
14/10/2010;1478
15/10/2010;1478
16/10/2010;1478
17/10/2010;1478
18/10/2010;1478
19/10/2010;1478
20/10/2010;1478
21/10/2010;1490
22/10/2010;1490
