Fecha;Santa_Cruz
1/3/2010;85
1/4/2010;4
1/5/2010;4
1/6/2010;13
1/7/2010;270
1/8/2010;102
1/9/2010;918
1/10/2010;98
1/11/2010;22
1/12/2010;149
1/1/2011;198
1/2/2011;979
1/3/2011;4786
1/4/2011;14242
1/5/2011;8243
1/6/2011;4270
1/7/2011;985
1/8/2011;213
1/9/2011;108
1/10/2011;429
1/11/2011;382
1/12/2011;288
1/1/2012;126
1/2/2012;268
1/3/2012;56
1/4/2012;22
1/5/2012;1292
1/6/2012;152
1/7/2012;2280
1/8/2012;954
1/9/2012;2644
1/10/2012;1475
1/11/2012;171
1/12/2012;347
1/1/2013;47
1/2/2013;520
1/3/2013;378
1/4/2013;205
1/5/2013;0
1/6/2013;190
1/7/2013;466
1/8/2013;18
1/9/2013;25
1/10/2013;460
1/11/2013;109
1/12/2013;490
1/1/2014;14
1/2/2014;6
1/3/2014;2369
1/4/2014;2
1/5/2014;1565
1/6/2014;3151
1/7/2014;6437
1/8/2014;990
1/9/2014;1276
1/10/2014;187
1/11/2014;262
1/12/2014;15011
1/1/2015;5609
1/2/2015;37
1/3/2015;3503
1/4/2015;4444
1/5/2015;3966
1/6/2015;611
1/7/2015;1633
1/8/2015;1914
1/9/2015;1893
1/10/2015;652
1/11/2015;472
1/12/2015;5778
1/1/2016;439
1/2/2016;812
1/3/2016;325
1/4/2016;1
1/5/2016;200
1/6/2016;5
1/7/2016;5
1/8/2016;0
1/9/2016;5
1/10/2016;301
1/11/2016;910
1/12/2016;11
1/1/2017;326
1/2/2017;252
1/3/2017;362
1/4/2017;362
1/5/2017;1862
1/6/2017;1623
1/7/2017;3187
1/8/2017;2261
1/9/2017;451
1/10/2017;4958
1/11/2017;36
1/12/2017;86
1/1/2018;9
1/2/2018;66
1/3/2018;588
1/4/2018;588
1/5/2018;588
1/6/2018;189
1/7/2018;380
1/8/2018;48
1/9/2018;127
1/10/2018;1988
1/11/2018;656
1/12/2018;221
1/1/2019;921
1/2/2019;14
1/3/2019;198
1/4/2019;725
1/5/2019;2958
1/6/2019;1700
1/7/2019;729
1/8/2019;1753
1/9/2019;357
1/10/2019;738
1/11/2019;54
1/12/2019;142
1/1/2020;1307
1/2/2020;4973
1/3/2020;32
1/4/2020;32
1/5/2020;9060
1/6/2020;20942
1/7/2020;6225
1/8/2020;3005
1/9/2020;1381
1/10/2020;223
1/11/2020;390
1/12/2020;1188
1/1/2021;1229
1/2/2021;5050
1/3/2021;7124
1/4/2021;7124
1/5/2021;1145
1/6/2021;8089
1/7/2021;2409
1/8/2021;7781
1/9/2021;1835
1/10/2021;257
1/11/2021;2650
1/12/2021;1901
1/1/2022;434
1/2/2022;434
1/3/2022;7923
1/4/2022;10054
