Fecha;Santa_Cruz
2010-03;85
2010-04;89
2010-05;93
2010-06;106
2010-07;376
2010-08;478
2010-09;1396
2010-10;1494
2010-11;1516
2010-12;1665
2011-01;1863
2011-02;2842
2011-03;7628
2011-04;21870
2011-05;30113
2011-06;34383
2011-07;35368
2011-08;35581
2011-09;35689
2011-10;36118
2011-11;36500
2011-12;36788
2012-01;36914
2012-02;37182
2012-03;37238
2012-04;37260
2012-05;38552
2012-06;38704
2012-07;40984
2012-08;41938
2012-09;44582
2012-10;46057
2012-11;46228
2012-12;46575
2013-01;46622
2013-02;47142
2013-03;47520
2013-04;47725
2013-05;47725
2013-06;47915
2013-07;48381
2013-08;48399
2013-09;48424
2013-10;48884
2013-11;48993
2013-12;49483
2014-01;49497
2014-02;49503
2014-03;51872
2014-04;51874
2014-05;53439
2014-06;56590
2014-07;63027
2014-08;64017
2014-09;65293
2014-10;65480
2014-11;65742
2014-12;80753
2015-01;86362
2015-02;86399
2015-03;89902
2015-04;94346
2015-05;98312
2015-06;98923
2015-07;100556
2015-08;102470
2015-09;104363
2015-10;105015
2015-11;105487
2015-12;111265
2016-01;111704
2016-02;112516
2016-03;112841
2016-04;112842
2016-05;113042
2016-06;113047
2016-07;113052
2016-08;113052
2016-09;113057
2016-10;113358
2016-11;114268
2016-12;114279
2017-01;114605
2017-02;114857
2017-03;115219
2017-04;115581
2017-05;117443
2017-06;119066
2017-07;122253
2017-08;124514
2017-09;124965
2017-10;129923
2017-11;129959
2017-12;130045
2018-01;130054
2018-02;130120
2018-03;130708
2018-04;131296
2018-05;131884
2018-06;132073
2018-07;132453
2018-08;132501
2018-09;132628
2018-10;134616
2018-11;135272
2018-12;135493
2019-01;136414
2019-02;136428
2019-03;136626
2019-04;137351
2019-05;140309
2019-06;142009
2019-07;142738
2019-08;144491
2019-09;144848
2019-10;145586
2019-11;145640
2019-12;145782
2020-01;147089
2020-02;152062
2020-03;152094
2020-04;152126
2020-05;161186
2020-06;182128
2020-07;188353
2020-08;191358
2020-09;192739
2020-10;192962
2020-11;193352
2020-12;194540
2021-01;195769
2021-02;200819
2021-03;207943
2021-04;215067
2021-05;216212
2021-06;224301
2021-07;226710
2021-08;234491
2021-09;236326
2021-10;236583
2021-11;239233
2021-12;241134
2022-01;241568
2022-02;242002
2022-03;249925
2022-04;259979
